SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
81,SOWBRZR12A58A7B5D2,225374,Extreme Channel Surfing,ARENLSD1241B9C71B9,,,,Mack and Jamie,0,66.42893,8,0.14,186.13,4,0.451,Slimy Little Troll,0
82,SOPOTLV12AB017C1F7,531919,Soul Express,ARYZV2X1187B997BE7,,California - LA,,Chris Standring,0,257.59302,9,0.694,97.959,4,0,Mumbo Jumbo (jazz),2006
83,SOBRVRZ12A8C132DE5,189516,Rambo - First Blood,ARM0RY81187B9AF248,34.05349,Los Angeles CA,-118.24532,Jerry Goldsmith,0,281.28608,1,0.146,77.306,5,0.263,First Blood,1985
84,SOWTBIV12A8C13B607,301417,Stars Of The Summer Night,AR9F71I1187FB46CAF,,,,Gordon MacRae,0,179.59138,3,0.125,77.929,5,0.94,Do You Ever Think Of Me,0
85,SOKWXEW12A6D4F7F9E,45795,Plays John Mayall (Live At Klooks Kleek),ARJ9DSA1187B990E00,,,,John Mayall & The Bluesbreakers,0,142.602,8,0.416,166.238,1,0,Crawling Up A Hill - version 2 - mono_ live,0
86,SOFLCWE12AC468C2B2,688952,Essential Delta Blues,ARTDUXM1187B9899ED,32.33112,Edwards MS,-90.60536,Charley Patton,0,196.62322,10,0.346,107.877,1,0,Moon Going Down,1930
87,SOZSSJQ12AB01852D1,411428,Ensiferum,ARUWB5W1187B98D7A1,,Helsinki Finland,,Ensiferum,0,218.61832,9,0.336,200.061,4,0.423,Hero In A Dream,1999
88,SOEJFMF12A670209F0,13904,Raising Children/Go Figure,ARTJPHB1187B9968E5,,,,The Race,0,225.17506,11,0.39,118.043,4,0.78,Raising Children,2006
89,SOGVRQG12A58A7E69B,272685,Backseat Travelling,ARIULTJ1187B9A2017,,,,Neviss,0,53.39383,1,0.133,160.409,7,0.664,Epilog,2003
90,SOKQYBC12AB0183C87,519688,Live Wide Open,AR4TLW81187B99683D,,Syracuse NY,,Martin Sexton,0,352.88771,2,0.5,133.391,4,0.806,Ice Cream Man,2001
91,SOBHDHC12A6D4FA2A4,48593,Not Anymore,ARVNIVQ1250941026F,,,,Dylan Kuo,0,230.29506,1,0.515,100.173,4,0.531,Ji Xiang Yan Chu,0
92,SONKDJU12A67FFB313,75789,Con el alma entre las manos,ARNNHLN1187FB42912,29.07904,Hermosillo Sonora Mexico,-110.94695,Yahir,0,216.81587,0,0.578,131.938,4,0.31,No seamos tontos,0
93,SODWSGW12A58A7D4B8,112284,Monkeys For Nothin And The Chimps For Free,ARZJ4MI1187B9AF5AF,,Orange County CA,,Reel Big Fish,0,153.67791,2,0.46,159.723,4,0.453,Why Do All Girls Think Theyre Fat (Album),2007
94,SOJTSAW12A58A7B6C2,443438,Have Fun Learning - 14 Sing Along & Learn Along Songs,AR502DZ1187B98F8E1,,,,Brian Dullaghan,0,110.44526,2,1,92.29,3,1,My First Day At School,0
95,SOTJODQ12AB018561C,711509,Die Letzte Rache (+Bonus),ARE08BN1187B98FCA3,,,,Der Plan,0,26.67057,6,0.16,35.898,4,0,De Kommissar 1,0
96,SOAONEP12A58A7D2B3,272334,15 Grandes í_xitos,ARSWXNX1187FB3D04E,-37.0907,Argentina,-63.58481,Chango Spasiuk,0,131.57832,9,0.15,194.156,4,0,De Bombacha Y Alpargatas,0
97,SOAXQTX12AB017F467,337157,De Xin Ying Shou Yan Chang Hui 2006,ARFERPC1187FB557F6,,,,Hacken Lee,0,188.52526,6,0.488,112.081,4,1,He Jiu Bi Hun,0
98,SOPJBSM12AB0182B14,440942,To Pathos Ine Aformi,ARIJ7MR1187B9B484E,,,,Peggy Zina,0,200.38485,3,0,96.024,4,0.526,O Hiroteros Ehthros Mou,2009
99,SOICEAK12A6D4F4819,94209,The Very Best Of J.J. Cale,AR93D4D1187FB3ACAD,35.472,Oklahoma City OK,-97.52033,J.J. Cale,0,263.94077,0,0.951,111.492,1,0,Midnight In Memphis,1997
100,SOWHIHY12AB018B64A,665359,Juke Trax Online Vol. 6,ARPOPBQ11F4C83D36D,,,,DJ Spinn,0,312.94649,6,0.037,119.987,3,1,Feelin You,0
101,SOLLWEJ12A8C132B05,246943,Let Me Put The Head In It - Blues And Soul Mix,ARMKO9M1187B9B0848,32.67828,Georgia,-83.22295,Theodis Ealey,0,227.44771,10,0.308,99.238,4,0,This Time I Know,0
102,SORBVIZ12A8C13A4BA,156224,The Good Road,ARKYI5T1187B99334F,35.21962,North Carolina,-80.01955,Janet Paschal,0,316.36853,7,0.356,119.194,4,0.938,God Will Make A Way,0
103,SONCPQC12A58A7D3A7,808024,Urban Renewal Program,ARWHM281187FB3D381,37.80506,Oakland CA,-122.27302,Souls Of Mischief,0,220.96934,4,0.374,96.287,4,1,Spark,2002
104,SONAJJE12A6D4F49A0,27630,The Plan,ARI4NXX1187FB59DF2,,Wisconsin,,Raze,0,196.64934,6,0.024,108.831,4,0.019,Follow Your Dreams (The Plan Album Version),0
105,SOTUGCE12AB0181409,445975,Live at CBGB 1982,AR7Y6JX1187FB4D9B3,,Washington D.C.,,Bad Brains,0,85.26322,9,0.014,86.536,4,0.445,Destroy Babylon,1983
106,SOHKEPR12AB018C9C9,579648,Stand Up,ARQ0BZY1187B99F093,,Columbus OH,,Everyday Sunday,0,269.73995,7,0.424,103.009,4,0.306,Dont Leave,2002
107,SOGKVQY12AAF3B28D7,482113,Dora The Explorer Party Favorites,AR3KXHI1187FB3A8BF,,,,Dora The Explorer,0,68.98893,1,0,123.965,4,0.492,Travel Song (Reprise),2008
108,SOADKNO12AB0182BC7,659812,Blow My Fuse,AR3SEQM1187B98E9E8,39.6425,Hagerstown MD,-77.71758,Kix,0,257.2273,1,0.747,140.994,4,0.381,Cold Blood (LP Version),0
109,SOQIDEF12A8C139B23,535192,Oops!... I Did It Again,AR03BDP1187FB5B324,34.05349,Kentwood LA; Los Angeles CA,-118.24532,Britney Spears,0,223.52934,10,0.529,111.004,4,1,Dont Go Knockin On My Door,2000
110,SOVBYLF12AB017EBAC,632807,Beyond the Permafrost,ARH8B5X1187FB3B6C0,,,,Skeletonwitch,0,173.37424,9,0.468,201.333,4,0,Sacrifice for the Slaughtergod,2007
111,SOIBAKV12A8C142CE7,372744,Winter Tour 05 - 06,AR5BX3Y1187FB39E93,32.74838,Ocean Beach San Diego CA,-117.24681,Slightly Stoopid,0,118.49098,9,0.671,173.709,4,0.519,Jimi Baby,0
112,SOTEWGK12AB0185C5A,464243,Uganda,ARS2FUA1187B9ADABF,,South Dakota,,Indigenous,0,201.482,5,0.296,108.018,4,1,Wanikaa (Featuring Abramz_ Krazy_ Lyrical G_ Saint Ca and Sylvester),0
113,SOIUODF12A6D4F9C3E,64550,Master Collection_ Vol. 1,ARAPI451187B9B6E6F,35.472,Oklahoma City OK,-97.52033,John Michael Talbot,0,113.78893,5,0.12,96.709,3,0.417,Pass Through My Will,1989
114,SOGINAY12A8C138666,420490,Live Radio Sessions,ARS0W831187B9AF0B7,,,,Maximilian Hecker,0,205.7922,8,0.506,129.488,5,0.737,Full Of Voices,2005
115,SOETIGS12AB0186644,467076,Leroy Hutson Selected Hits Vol. 2,ARVML4B1187FB52324,40.73197,Newark NJ,-74.17418,Leroy Hutson,0,323.99628,7,0.702,183.935,4,0.468,More Where That Came From - Original,0
116,SOCVTPO12A8C13414F,243639,Break Through,ARUZL121187FB4B42D,,,,True Believers,0,281.88689,4,0.625,92.881,4,0.941,I Worship You,0
117,SOLBDEY12AC9E12684,633037,Sonneries chti By Blingtones,ARGSAFR1269FB35070,,,,Blingtones,0,9.66485,4,0,67.046,1,0,La boí¬te íæ hein biloute,0
118,SOLBDAS12AB018BB6E,765828,Asi Soy,AROVE3N1187FB44DAD,,,,Charlie Cruz,0,288.83546,2,0.278,200.534,4,0,Si No Te Hubieras Ido,0
119,SOHWVJJ12AB0185F6D,301001,Whitesnakes Greatest Hits,ARASYMJ1187B9ACAF2,51.50632,London England,-0.12714,Whitesnake,0,250.3571,7,0.342,125.783,4,0.387,Fool For Your Loving,1980
120,SOVQWTQ12A8C13D988,217026,El Album,AR937CC1187B99B9B9,,,,Los Abuelos De La Nada,0,194.01098,2,0.529,139.685,4,0,Lunes Por La Madrugada,1984
121,SOHZNER12AAFF43D08,530926,Natsukashii,ARZU9NI1187B9AEE08,59.37991,Karlstad,13.49942,Babylon Disco,0,208.90077,0,0.557,89.927,4,1,Error,2007
122,SOBDHIZ12AB0182E18,541927,Two Warriors,ARP9QX11187FB50EEB,,,,Ulytau,0,233.76934,5,0.482,140.13,4,0,Winter (Four Seasons),0
123,SONNDRB12A8AE46705,236463,Angelic Embrace,ARMSW7X1187FB5B504,34.05349,California - LA,-118.24532,Dave Eggar,0,225.04444,1,0.848,100.893,4,0.544,Wave,2002
124,SOGDLDE12AB017A28E,437552,The Legendary Ray Kane : Old Slack Key,ARDAONS11F4C844929,,,,Ray Kane,0,107.7024,9,0,163.385,4,0,Waahila (Instrumental - Bonus Track),0
125,SOZAFEC12AB018C519,724004,A Tribute To David Bowie Vol 1,AROLZEM1187B9A805E,64.55653,NORWAY,12.66538,Ashes to Ashes,0,254.32771,7,0,94.888,3,1,Drive In Saturday - (Tribute to David Bowie),0
126,SODTDRC12A81C22C7C,131443,Lauluja rakkaudesta,AR22KLC1187B98E812,,,,Kaija Koo,0,227.36934,2,0.675,121.981,4,1,Seuraavassa elí_mí_ssí_,1995
127,SOZTDIN12AB018AAD1,681552,In A Word,AR05VW21187FB407B4,52.94922,Nottingham,-1.14392,Fudge Tunnel,0,124.94322,11,0.038,120.703,4,0.005,Bed Crumbs,1991
128,SOVOYJL12A8C142B2A,609931,The Best of Donnie Brooks,AR180PG1187B997BAE,32.77815,Dallas Texas,-96.7954,Donnie Brooks,0,174.34077,0,0.127,113.082,4,0.717,Whatd I Say,2001
129,SOJCOPL12AB01886A1,421820,Peace in a time of war,ARVWNTI1269FB34C59,,,,SOJA,0,235.17995,5,0.096,145.949,4,0.145,Time to come true,0
130,SOYMPFK12A8C141D1A,426506,My Life Would Suck Without You,ARJGIOD1187B9AE920,,,,Kelly Clarkson,0,230.63465,9,0.019,135.914,4,0.394,My Life Would Suck Without You,2009
131,SOGSBKB12AC9097E0F,683115,Fous les canards,AR64N1H1187B996199,45.51228,Montreal,-73.55439,Edgar Bori,0,264.61995,11,0.522,117.295,1,0.253,Jlai pas dit,0
132,SOCOTRH12A8C13840D,152856,Urban Blues Singing Legend 1949-1951,AR6Y8JF1187B9BA1D5,33.92192,Gurdon AR,-93.14939,Jimmy Witherspoon,0,147.69587,3,0.241,94.105,3,1,Im Just Wonderin Part 2,0
133,SOGIAKH12AB0184D05,499460,Something Beautiful,ARSVRVA1187B99228A,,,,The Nelons,0,200.202,7,0.95,108.914,4,0.155,Hallelujah,0
134,SOWRILA12A8C1360D0,205285,The Beat Goes On,AR202MX1187B9B0383,,,,Tanto Metro & Devonte,0,207.56853,6,0.346,105.671,4,0.143,Sometimes,0
135,SOQFWIS12A58A7BD61,8768,Hex,ARNR58F1187FB52FA9,,,,BigElf,0,298.13506,0,0.68,64.006,1,0.453,Falling Bombs,2003
136,SONFOLB12AB01841B9,542748,Whatevers Cool With Me,AR9YWMS1187FB43A34,,Amherst MA,,Dinosaur Jr.,0,271.12444,0,0.62,152.461,4,0.369,Whatevers Cool With Me (LP Version),1991
